Departure airport,Arrival Airport,Distance,Airline,Ticket Price,Time ,Date
CGK,TKG ( Lampung ),118,Lion Mentari Airlines (JT),Rp482.400,09.15 - 10.05,22-Apr
CGK,PLM ( Palembang ) ,260,Lion Mentari Airlines (JT),Rp721.780,07.00 - 08.05,22-Apr
CGK,SRG ( Semarang ) ,261,Lion Mentari Airlines (JT),Rp4.663.610,06.00 - 10.40,22-Apr
CGK,PGK ( Pangkal Pinang ) ,275,Lion Mentari Airlines (JT),Rp1.765.200,08.45 - 10.00,22-Apr
CGK,JOG ( Jogja YIA ) ,283,Lion Mentari Airlines (JT),,,
CGK,BKS (Bengkulu),335,Lion Mentari Airlines (JT),Rp2.396.880,06.10 - 07.25,22-Apr
CGK,DJB ( Jambi ) ,372,Lion Mentari Airlines (JT),Rp2.146.100,12.30 - 13.50,22-Apr
CGK,SUB ( Surabaya ) ,429,Lion Mentari Airlines (JT),Rp2.099.480,03.30 - 05.00,22-Apr
CGK,PNK ( Kalimantan Barat ) ,453,Lion Mentari Airlines (JT),Rp2.146.025,07.55 - 09.25,22-Apr
CGK,TNJ,508,Lion Mentari Airlines (JT),,,
CGK,BTH ( Batam ) ,530,Lion Mentari Airlines (JT),Rp2.548.800,08.15 - 09.55,22-Apr
CGK,WIMG,565,Lion Mentari Airlines (JT),,,
CGK,PKY ( Kalimantan Tengah ) ,569,Lion Mentari Airlines (JT),Rp2.468.600,10.00 - 11.45,22-Apr
CGK,PKU ( Riau ) ,579,Lion Mentari Airlines (JT),Rp2.530.400,06.30 - 08.10,22-Apr
CGK,BDJ ( Kalimantan Selatan ) ,587,Lion Mentari Airlines (JT),Rp2.852.030,07.25 - 10.15,22-Apr
CGK,DPS ( Denpasar ) ,610,Lion Mentari Airlines (JT),Rp2.220.328,07.00 - 09.55,22-Apr
CGK,LOP ( Lombok ) ,683,Lion Mentari Airlines (JT),Rp2.659.940,06.00 - 09.00,22-Apr
CGK,KUL ( ,701,Lion Mentari Airlines (JT),,,
CGK,KUL,701,Malindo Air (OD),,,
CGK,BPN ( Balikpapan ) ,780,Lion Mentari Airlines (JT),Rp2.816.480,07.00 - 19.15,22-Apr
CGK,UPG ( Makasar ) ,889,Lion Mentari Airlines (JT),Rp3.371.980,20.00 - 23.20,22-Apr
CGK,PLW ( Palu ) ,981,Lion Mentari Airlines (JT),Rp3.047.080,"07.00 - 10,45",22-Apr
CGK,TRK ( Tarakan ) ,996,Lion Mentari Airlines (JT),Rp4.212.080,09.30 - 17.40,22-Apr
CGK,KDI ( Sulawesi Tenggara ) ,1093,Lion Mentari Airlines (JT),Rp3.382.080,13.35 - 17.25,22-Apr
CGK,BTJ ( Aceh ) ,1116,Lion Mentari Airlines (JT),Rp4.019.040,08.40 - 11.25,22-Apr
CGK,MDC ( Manado ) ,1366,Lion Mentari Airlines (JT),Rp5.128.120,03.30 - 12.45,22-Apr
CGK,AMQ ( Maluku ) ,1483,Lion Mentari Airlines (JT),Rp5.486.400,22.00 - 09.00,22-Apr
CGK,DJJ ( Sentani Papua ) ,2343,Lion Mentari Airlines (JT),Rp7.852.730,05.30 -12.50,22-Apr
CGK,JED,4950,Lion Mentari Airlines (JT),,,
CGK,TKG ( Lampung ),118,Garuda Indonesia (GA),Rp713.843,14:40 - 15:30,22 Apr
CGK,PLM ( Palembang ) ,260,Garuda Indonesia (GA),Rp1.133.646,17:50 - 19:00,22 Apr
CGK,SRG ( Semarang ) ,261,Garuda Indonesia (GA),Rp1.003.846,13:25 - 14:40,22-Apr
CGK,PGK ( Pangkal Pinang ) ,275,Garuda Indonesia (GA),Rp1.009.816,10:20 -  11:40,22-Apr
CGK,JOG ( Jogja YIA ) ,283,Garuda Indonesia (GA),Rp1.095.520,16:00 - 17:20,22-Apr
CGK,BKS (Bengkulu),335,Garuda Indonesia (GA),Rp1.260.020,12:50 - 14:10,22-Apr
CGK,DJB ( Jambi ) ,372,Garuda Indonesia (GA),Rp1.256.520,09:20 - 10:40,22-Apr
CGK,SUB ( Surabaya ) ,429,Garuda Indonesia (GA),Rp1.174.410,12:35 - 14:10,22-Apr
CGK,PNK ( Kalimantan Barat ) ,453,Garuda Indonesia (GA),,,
CGK,TNJ ( Tanjung Pinang ),508,Garuda Indonesia (GA),,,
CGK,BTH ( Batam ) ,530,Garuda Indonesia (GA),Rp1.533.520,09:40 - 11:25,22-Apr
CGK,WIMG ( ini gw ga  dapet asli dimana,565,Garuda Indonesia (GA),,,
CGK,PKY ( Kalimantan Tengah ) ,569,Garuda Indonesia (GA),Rp1.903.020,09:55-11:45,22-Apr
CGK,PKU ( Riau ) ,579,Garuda Indonesia (GA),Rp1.601.120,07:30 - 09:15,22-Apr
CGK,BDJ ( Kalimantan Selatan ) ,587,Garuda Indonesia (GA),Rp1.325.839,06:35-09:35,22-Apr
CGK,DPS ( Denpasar ) ,610,Garuda Indonesia (GA),Rp1.738.020,15:30-18:25,22-Apr
CGK,LOP ( Lombok ) ,683,Garuda Indonesia (GA),Rp1.860.320,12:35 - 18:30,22-Apr
CGK,KUL ( ,701,Garuda Indonesia (GA),,,
CGK,KUL,701,Garuda Indonesia (GA),,,
CGK,BPN ( Balikpapan ) ,780,Garuda Indonesia (GA),Rp1.860.420,08:35 - 11:50,22-Apr
CGK,UPG ( Makasar ) ,889,Garuda Indonesia (GA),Rp1.908.820,20:15 - 23:50,22-Apr
CGK,PLW ( Palu ) ,981,Garuda Indonesia (GA),Rp2.365.720,02:20 - 06:05,22-Apr
CGK,TRK ( Tarakan ) ,996,Garuda Indonesia (GA),Rp2.333.380,12:35 - 19:50,22-Apr
CGK,KDI ( Sulawesi Tenggara ) ,1093,Garuda Indonesia (GA),Rp2.585.320,01:35 - 07:10,22-Apr
CGK,BTJ ( Aceh ) ,1116,Garuda Indonesia (GA),Rp2.197.120,07:20 - 10:15,22-Apr
CGK,MDC ( Manado ) ,1366,Garuda Indonesia (GA),Rp3.180.220,02:00 - 06:25,22-Apr
CGK,AMQ ( Maluku ) ,1483,Garuda Indonesia (GA),Rp3.671.420,09:40 - 15:20,22-Apr
CGK,DJJ ( Sentani Papua ) ,2343,Garuda Indonesia (GA),Rp5.505.220,23:15 - 06:35,22-Apr
CGK,JED,4950,Garuda Indonesia (GA),,,
